# Qy from Chris' wimpstat, which is apparently taken from some unidentified C code (given semicolons at linebreaks
# This is apparently a variation on the Bezrukov Qy (looking at RichardW's notes you can see there are many other choices which can also be called "Bezrukov".
# Jelle, 26 July 2017
,kevnr,qy
0,1.0,6.1274914559512705
1,1.0722672220103233,6.104825943971763
2,1.1497569953977358,6.083005716613677
3,1.2328467394420661,6.061993659075633
4,1.321941148466029,6.041750051123309
5,1.4174741629268053,6.0222323298957505
6,1.5199110829529336,6.003394842711964
7,1.6297508346206442,5.9851885909205125
8,1.7475284000076838,5.96756096619164
9,1.8738174228603839,5.950455481086767
10,2.0092330025650473,5.933811496250047
11,2.154434690031884,5.9175639471252826
12,2.3101297000831598,5.901643073737047
13,2.4770763559917106,5.8859741577997005
14,2.6560877829466865,5.870477272183186
15,2.848035868435802,5.855067048604568
16,3.0538555088334154,5.83965247030509
17,3.2745491628777286,5.824136697400543
18,3.511191734215131,5.808416933515624
19,3.7649358067924683,5.792384343232194
20,4.0370172585965545,5.775924030736379
21,4.328761281083058,5.758915090791755
22,4.641588833612779,5.741230743753026
23,4.977023564332112,5.722738566687617
24,5.3366992312063095,5.703300832722626
25,5.722367659350217,5.682774970404477
26,6.1359072734131725,5.6610141540724985
27,6.579332246575681,5.637868034910215
28,7.054802310718643,5.613183620401905
29,7.564633275546289,5.586806307314314
30,8.111308307896872,5.5585810700254585
31,8.697490026177835,5.52835380201634
32,9.326033468832199,5.495972803694314
33,10.0,5.4612904044844415
34,10.722672220103231,5.424164701470883
35,11.497569953977356,5.384461390978738
36,12.32846739442066,5.342055663601309
37,13.219411484660293,5.2968341276008415
38,14.174741629268055,5.24869672065501
39,15.199110829529339,5.197558565935332
40,16.297508346206442,5.143351725807525
41,17.47528400007684,5.086026805337586
42,18.73817422860384,5.02555435849523
43,20.09233002565047,4.961926052610152
44,21.544346900318846,4.895155551288078
45,23.101297000831604,4.825279082537096
46,24.770763559917114,4.752355667073464
47,26.560877829466868,4.676466991331143
48,28.48035868435802,4.597716920157639
49,30.538555088334157,4.516230655032779
50,32.74549162877728,4.432153554361601
51,35.11191734215131,4.345649642436381
52,37.64935806792467,4.256899842551123
53,40.370172585965555,4.166099977081351
54,43.287612810830595,4.073458582816579
55,46.4158883361278,3.979194593277
56,49.770235643321115,3.883534941115541
57,53.3669923120631,3.7867121330751394
58,57.22367659350217,3.6889618475210835
59,61.35907273413173,3.5905206005633263
60,65.79332246575683,3.491623521545693
61,70.54802310718645,3.3925022725583984
62,75.64633275546291,3.293383139981023
63,81.11308307896873,3.1944853192211857
64,86.97490026177834,3.0960194070768607
65,93.26033468832199,2.9981861097688736
66,100.0,2.901175168858873
67,107.22672220103232,2.805164502125846
68,114.97569953977356,2.7103195521050547
69,123.28467394420659,2.6167928314330786
70,132.19411484660287,2.5247236513853464
71,141.74741629268047,2.434238018000144
72,151.99110829529332,2.345448678892359
73,162.9750834620645,2.258455303192382
74,174.7528400007685,2.1733447769124097
75,187.3817422860385,2.0901915963526485
76,200.9233002565048,2.0090583428243676
77,215.44346900318845,1.9299962229009715
78,231.01297000831605,1.8530456595360767
79,247.70763559917114,1.778236920641556
80,265.6087782946687,1.7055907730413733
81,284.8035868435802,1.6351191510611367
82,305.3855508833416,1.566825830340662
83,327.45491628777285,1.5007070987379816
84,351.1191734215131,1.4367524174066537
85,376.49358067924675,1.3749450662589884
86,403.70172585965537,1.3152627690667629
87,432.8761281083057,1.2576782943936415
88,464.1588833612782,1.202160029399038
89,497.7023564332114,1.1486725243036007
90,533.6699231206312,1.0971770059659918
91,572.236765935022,1.0476318595947478
92,613.5907273413176,0.9999930781141486
93,657.9332246575682,0.9542146791260826
94,705.4802310718645,0.9102490897678409
95,756.463327554629,0.8680475000653299
96,811.1308307896873,0.8275601856288215
97,869.7490026177834,0.7887368007398996
98,932.60334688322,0.7515266430391296
99,1000.0,0.715878891148909
